,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
17,Raja Bell\bellra01,2004,2012,4,247,6703,904,2113,218,580,419,525,145,667,354,176,37,274,714,2445,.428,.376,.798,27.1,9.9,2.7,1.4
18,Walt Bellamy\bellawa01,1975,1975,1,1,14,2,2,,,2,2,0,5,0,0,0,,2,6,1.000,,1.000,14.0,6.0,5.0,0.0
19,Jerrelle Benimon\benimje01,2015,2015,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0
20,Mel Bennett\benneme01,1981,1981,1,28,313,26,60,0,2,53,81,33,93,15,3,11,31,56,105,.433,.000,.654,11.2,3.8,3.3,0.5
21,David Benoit\benoida01,1992,2001,6,415,8191,1183,2643,156,491,513,648,516,1780,262,181,226,372,864,3035,.448,.318,.792,19.7,7.3,4.3,0.6
22,Kent Benson\bensoke01,1987,1987,1,73,895,140,316,2,7,47,58,80,231,39,39,28,45,138,329,.443,.286,.810,12.3,4.5,3.2,0.5
23,Henry Bibby\bibbyhe01,1975,1976,2,107,2296,357,841,,,268,344,76,229,301,87,3,,226,982,.424,,.779,21.5,9.2,2.1,2.8
24,Andris Biedrins\biedran01,2014,2014,1,6,45,1,1,0,0,1,6,2,17,0,0,0,2,6,3,1.000,,.167,7.5,0.5,2.8,0.0
25,John Block\blockjo01,1975,1975,1,4,57,9,29,,,9,10,6,18,7,4,1,,11,27,.310,,.900,14.3,6.8,4.5,1.8
26,Joel Bolomboy\bolomjo01,2017,2017,1,12,53,9,16,1,4,3,6,4,17,2,1,2,2,1,22,.563,.250,.500,4.4,1.8,1.4,0.2
27,Walter Bond\bondwa01,1994,1995,2,74,798,99,228,33,91,42,56,27,88,48,21,16,31,127,273,.434,.363,.750,10.8,3.7,1.2,0.6
28,Trevor Booker\booketr01,2015,2016,2,158,3196,416,852,41,125,157,254,305,849,167,102,82,169,313,1030,.488,.328,.618,20.2,6.5,5.4,1.1
