,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
39,Cedric Ceballos\cebalce01,2001,2001,1,27,393,73,158,11,33,29,33,27,80,13,10,4,23,42,186,.462,.333,.879,14.6,6.9,3.0,0.5
40,Mario Chalmers\chalmma01,2009,2016,8,525,14571,1596,3786,657,1824,792,1020,175,1285,2004,791,77,984,1412,4641,.422,.360,.776,27.8,8.8,2.4,3.8
41,Rex Chapman\chapmre01,1996,1996,1,56,1865,289,679,125,337,83,113,22,145,166,45,10,79,117,786,.426,.371,.735,33.3,14.0,2.6,3.0
42,Norris Cole\coleno01,2012,2015,4,274,6012,681,1681,143,450,203,279,68,489,710,220,22,394,510,1708,.405,.318,.728,21.9,6.2,1.8,2.6
43,Bimbo Coles\colesbi01,1991,2004,7,462,11548,1512,3447,157,570,850,1061,319,1069,1961,458,73,768,1018,4031,.439,.275,.801,25.0,8.7,2.3,4.2
44,Marty Conlon\conloma01,1998,1999,2,25,244,31,75,0,0,34,46,17,51,13,9,6,14,33,96,.413,,.739,9.8,3.8,2.0,0.5
45,Daequan Cook\cookda02,2008,2010,3,179,3965,519,1412,272,759,117,138,48,448,189,76,29,129,332,1427,.368,.358,.848,22.2,8.0,2.5,1.1
46,Tyrone Corbin\corbity01,1996,1996,1,22,354,38,92,2,6,23,28,26,65,23,16,3,17,51,101,.413,.333,.821,16.1,4.6,3.0,1.0
47,John Crotty\crottjo01,1997,1997,1,48,659,79,154,20,49,54,64,15,47,102,18,0,42,79,232,.513,.408,.844,13.7,4.8,1.0,2.1
48,Pat Cummings\cummipa01,1989,1990,2,90,1487,274,553,0,2,93,134,112,374,60,41,22,143,220,641,.495,.000,.694,16.5,7.1,4.2,0.7
49,Eddy Curry\curryed01,2012,2012,1,14,83,12,26,0,0,6,8,4,12,1,0,2,10,17,30,.462,,.750,5.9,2.1,0.9,0.1
50,Erick Dampier\dampier01,2011,2011,1,51,815,52,89,0,1,24,44,53,177,22,14,47,32,82,128,.584,.000,.545,16.0,2.5,3.5,0.4
51,Sasha Danilovic\danilsa01,1996,1997,2,62,1893,258,580,97,254,128,166,33,148,124,54,11,131,172,741,.445,.382,.771,30.5,12.0,2.4,2.0
52,Mark Davis\davisma02,1999,1999,1,4,35,2,6,0,0,5,6,2,7,1,1,0,7,12,9,.333,,.833,8.8,2.3,1.8,0.3
53,Ricky Davis\davisri01,2001,2008,2,89,3033,432,1000,136,334,162,205,56,360,287,92,16,196,194,1162,.432,.407,.790,34.1,13.1,4.0,3.2
54,Terry Davis\daviste01,1990,1991,2,118,1880,237,498,1,3,123,211,200,495,64,43,56,104,300,598,.476,.333,.583,15.9,5.1,4.2,0.5
55,Andre Dawkins\dawkian01,2015,2015,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,.167,.167,,5.5,0.8,0.5,0.3
56,Todd Day\dayto01,1998,1998,1,5,69,11,31,2,12,6,9,4,6,7,7,0,3,10,30,.355,.167,.667,13.8,6.0,1.2,1.4
57,Luol Deng\denglu01,2015,2016,2,146,4815,708,1532,166,476,336,443,211,819,279,139,51,189,231,1918,.462,.349,.758,33.0,13.1,5.6,1.9
58,Yakhouba Diawara\diawaya01,2009,2010,2,69,895,78,227,52,169,10,19,27,86,30,14,6,19,83,218,.344,.308,.526,13.0,3.2,1.2,0.4
59,Michael Doleac\doleami01,2005,2007,3,167,2244,267,594,0,3,85,112,141,499,77,51,44,80,301,619,.449,.000,.759,13.4,3.7,3.0,0.5
60,Keyon Dooling\doolike01,2005,2005,1,74,1184,139,345,19,75,85,109,11,90,132,39,11,65,120,382,.403,.253,.780,16.0,5.2,1.2,1.8
61,Sherman Douglas\douglsh01,1990,1992,3,159,5130,1011,2024,9,63,513,747,149,421,1262,270,15,524,375,2544,.500,.143,.687,32.3,16.0,2.6,7.9
62,Toney Douglas\douglto01,2014,2014,1,27,410,41,104,12,43,20,26,14,61,49,13,3,18,47,114,.394,.279,.769,15.2,4.2,2.3,1.8
63,Goran Dragic\dragigo01,2015,2019,5,250,8236,1620,3455,324,889,732,934,204,971,1362,252,50,630,653,4296,.469,.364,.784,32.9,17.2,3.9,5.4
64,Zoran Dragic\dragizo01,2015,2015,1,10,62,9,22,3,9,1,2,3,5,4,2,0,5,5,22,.409,.333,.500,6.2,2.2,0.5,0.4
65,Ledell Eackles\eacklle01,1995,1995,1,54,898,143,326,18,41,91,126,33,95,72,19,2,53,88,395,.439,.439,.722,16.6,7.3,1.8,1.3
66,Blue Edwards\edwarbl01,1999,1999,1,24,283,32,72,4,10,9,13,7,33,30,17,5,21,23,77,.444,.400,.692,11.8,3.2,1.4,1.3
67,Kevin Edwards\edwarke01,1989,1993,5,357,9534,1786,4169,55,200,735,921,346,1081,1131,560,138,784,661,4362,.428,.275,.798,26.7,12.2,3.0,3.2
68,Wayne Ellington\ellinwa01,2017,2018,2,139,3541,516,1255,376,973,104,121,41,350,149,88,12,82,164,1512,.411,.386,.860,25.5,10.9,2.5,1.1
69,LaPhonso Ellis\ellisla01,2002,2003,2,121,2468,289,714,65,231,103,150,151,444,71,45,52,104,284,746,.405,.281,.687,20.4,6.2,3.7,0.6
