,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
392,Eldridge Recasner\recasel01,1997,1998,2,130,2661,354,802,120,288,125,137,67,257,211,79,5,156,191,953,.441,.417,.912,20.5,7.3,2.0,1.6
393,Hub Reed\reedhu01,1959,1960,2,67,967,137,320,,,53,71,,319,32,,,,173,327,.428,,.746,14.4,4.9,4.8,0.5
394,Don Rehfeldt\rehfedo01,1952,1952,1,29,594,79,226,,,49,57,,174,38,,,,78,207,.350,,.860,20.5,7.1,6.0,1.3
395,John Rennicke\rennijo01,1952,1952,1,6,54,4,18,,,3,9,,9,1,,,,7,11,.222,,.333,9.0,1.8,1.5,0.2
396,Jeremy Richardson\richaje01,2007,2008,2,24,107,16,37,7,15,0,0,2,9,0,3,0,6,8,39,.432,.467,,4.5,1.6,0.4,0.0
397,Dick Ricketts\rickedi01,1956,1956,1,29,777,94,301,,,55,78,,196,82,,,,115,243,.312,,.705,26.8,8.4,6.8,2.8
398,Isaiah Rider\rideris01,2000,2000,1,60,2084,449,1072,56,180,204,260,63,258,219,41,6,168,132,1158,.419,.311,.785,34.7,19.3,4.3,3.7
399,Bob Riley\rileybo01,1971,1971,1,7,39,4,9,,,5,9,,12,1,,,,5,13,.444,,.556,5.6,1.9,1.7,0.1
400,Doc Rivers\riverdo01,1984,1991,8,568,17301,2582,5670,185,570,2008,2567,536,2000,3866,1166,276,1299,1910,7357,.455,.325,.782,30.5,13.0,3.5,6.8
401,Tony Robertson\roberto01,1978,1978,1,63,929,168,381,,,37,53,15,70,103,74,5,88,133,373,.441,,.698,14.7,5.9,1.1,1.6
402,Glenn Robinson\robingl01,2003,2003,1,69,2591,539,1248,90,263,268,306,86,457,205,91,26,248,183,1436,.432,.342,.876,37.6,20.8,6.6,3.0
403,Larry Robinson\robinla01,2001,2001,1,33,631,67,184,44,116,21,24,23,87,36,28,2,24,46,199,.364,.379,.875,19.1,6.0,2.6,1.1
404,Rumeal Robinson\robinru01,1991,1992,2,128,2894,531,1170,36,115,222,355,84,290,578,137,32,282,243,1320,.454,.313,.625,22.6,10.3,2.3,4.5
405,Truck Robinson\robintr01,1977,1977,1,36,1449,310,648,,,186,241,133,462,97,38,20,,130,806,.478,,.772,40.3,22.4,12.8,2.7
406,Ken Rohloff\rohloke01,1964,1964,1,2,7,0,1,,,0,0,,0,1,,,,4,0,.000,,,3.5,0.0,0.0,0.5
407,Phil Rollins\rolliph01,1961,1961,1,7,71,9,20,,,0,4,,3,11,,,,14,18,.450,,.000,10.1,2.6,0.4,1.6
408,Tree Rollins\rollitr01,1978,1988,11,814,20763,2353,4445,0,3,960,1370,1902,5994,570,452,2283,922,2924,5666,.529,.000,.701,25.5,7.0,7.4,0.7
409,Sean Rooks\rooksse01,1996,1996,1,16,215,32,58,0,1,29,43,21,51,9,4,14,31,35,93,.552,.000,.674,13.4,5.8,3.2,0.6
410,Dan Roundfield\roundda01,1979,1984,6,435,14893,2878,5872,6,48,1882,2551,1542,4658,1047,449,716,1253,1603,7644,.490,.125,.738,34.2,17.6,10.7,2.4
411,Walker Russell\russewa01,1985,1985,1,21,377,34,63,1,1,14,17,8,40,66,17,4,40,37,83,.540,1.000,.824,18.0,4.0,1.9,3.1
412,Pepe Sanchez\sanchpe01,2001,2001,1,5,34,0,7,0,0,0,0,1,1,5,2,0,3,3,0,.000,,,6.8,0.0,0.2,1.0
413,Jeff Sanders\sandeje01,1992,1993,2,21,237,30,70,0,0,11,17,21,55,15,13,4,16,31,71,.429,,.647,11.3,3.4,2.6,0.7
414,Pep Saul\saulpe01,1955,1955,1,65,1139,96,303,,,95,123,,134,104,,,,126,287,.317,,.772,17.5,4.4,2.1,1.6
415,Woody Sauldsberry\sauldwo01,1961,1963,3,106,1861,292,942,,,74,133,,571,86,,,,256,658,.310,,.556,20.2,6.2,6.2,0.9
416,Bob Schafer\schafbo01,1956,1956,1,42,496,69,235,,,55,69,,58,44,,,,61,193,.294,,.797,11.8,4.6,1.4,1.0
417,Herb Scherer\scherhe01,1951,1951,1,20,,24,84,,,20,35,,50,17,,,,56,68,.286,,.571,,3.4,2.5,0.9
418,Dale Schlueter\schluda01,1974,1974,1,57,547,63,135,,,38,50,54,155,45,25,22,,84,164,.467,,.760,9.6,2.9,2.7,0.8
419,Dennis Schroder\schrode01,2014,2018,5,352,8341,1733,3994,315,985,764,924,145,884,1675,282,35,835,615,4545,.434,.320,.827,23.7,12.9,2.5,4.8
420,Dick Schulz\schuldi01,1950,1950,1,8,,13,45,,,15,21,,,8,,,,12,41,.289,,.714,,5.1,,1.0
421,Mike Scott\scottmi01,2013,2017,5,281,4322,765,1663,194,578,264,336,209,836,257,88,32,189,350,1988,.460,.336,.786,15.4,7.1,3.0,0.9
422,Thabo Sefolosha\sefolth01,2015,2017,3,189,4330,466,1016,108,322,162,232,159,827,289,234,89,164,273,1202,.459,.335,.698,22.9,6.4,4.4,1.5
423,Frank Selvy\selvyfr01,1955,1958,3,43,639,83,266,,,80,119,,107,51,,,,61,246,.312,,.672,14.9,5.7,2.5,1.2
424,Chuck Share\sharech01,1954,1960,7,442,10291,1327,3229,,,1465,2105,,3999,597,,,,1584,4119,.411,,.696,25.5,9.3,9.9,1.5
425,Craig Shelton\sheltcr01,1981,1982,2,59,607,102,225,0,1,36,60,60,141,27,19,5,61,131,240,.453,.000,.600,10.3,4.1,2.4,0.5
