,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
128,Elfrid Payton\paytoel01,2019,2019,1,3,97,17,31,2,4,5,9,4,22,22,4,1,5,8,41,.548,.500,.556,32.3,13.7,7.3,7.3
129,Kendrick Perkins\perkike01,2016,2016,1,37,542,40,75,0,0,11,25,25,128,31,11,11,41,64,91,.533,,.440,14.6,2.5,3.5,0.8
130,Morris Peterson\petermo01,2008,2010,3,165,3284,404,1000,208,543,110,158,66,416,124,87,14,83,257,1126,.404,.383,.696,19.9,6.8,2.5,0.8
131,Quincy Pondexter\pondequ01,2011,2015,2,111,1987,213,492,92,221,74,100,56,226,94,31,29,57,166,592,.433,.416,.740,17.9,5.3,2.0,0.8
132,James Posey\poseyja01,2009,2010,2,152,3871,342,869,197,556,186,226,70,691,199,100,40,130,420,1067,.394,.354,.823,25.5,7.0,4.5,1.3
133,Julius Randle\randlju01,2019,2019,1,3,70,20,36,4,8,12,17,4,27,3,2,0,3,14,56,.556,.500,.706,23.3,18.7,9.0,1.0
134,Austin Rivers\riverau01,2013,2015,3,165,3529,423,1086,78,235,222,352,54,306,374,89,25,181,321,1146,.390,.332,.631,21.4,6.9,1.9,2.3
135,Brian Roberts\roberbr01,2013,2014,2,150,2991,457,1092,123,331,195,210,34,233,453,80,10,166,240,1232,.418,.372,.929,19.9,8.2,1.6,3.0
136,Nate Robinson\robinna01,2016,2016,1,2,23,0,1,0,1,0,0,0,0,4,1,0,0,5,0,.000,.000,,11.5,0.0,0.0,2.0
137,Rodney Rogers\rogerro01,2005,2005,1,30,882,109,289,25,92,32,42,28,142,60,19,12,66,103,275,.377,.272,.762,29.4,9.2,4.7,2.0
138,Rajon Rondo\rondora01,2018,2018,1,65,1705,231,494,50,150,25,46,31,263,533,70,10,151,119,537,.468,.333,.543,26.2,8.3,4.0,8.2
139,Sean Rooks\rooksse01,2004,2004,1,35,325,34,94,0,0,12,15,10,50,11,9,5,15,48,80,.362,,.800,9.3,2.3,1.4,0.3
140,John Salmons\salmojo01,2015,2015,1,21,270,16,48,8,26,2,4,4,21,13,9,4,5,25,42,.333,.308,.500,12.9,2.0,1.0,0.6
