,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
322,Isaiah Thomas\thomais02,2015,2015,1,46,1181,218,512,81,207,184,211,26,109,171,45,5,89,105,701,.426,.391,.872,25.7,15.2,2.4,3.7
323,Joe Thomas\thomajo01,1971,1971,1,39,204,23,86,,,9,20,,43,17,,,,19,55,.267,,.450,5.2,1.4,1.1,0.4
324,Kurt Thomas\thomaku01,2006,2007,2,120,2619,316,650,0,1,131,163,188,794,81,47,83,92,349,763,.486,.000,.804,21.8,6.4,6.6,0.7
325,Tim Thomas\thomati01,2006,2006,1,26,634,107,246,45,105,28,42,22,127,18,16,6,32,77,287,.435,.429,.667,24.4,11.0,4.9,0.7
326,Bernard Thompson\thompbe01,1986,1988,3,122,2178,311,663,0,7,197,250,118,248,201,83,16,127,279,819,.469,.000,.788,17.9,6.7,2.0,1.6
327,Brooks Thompson\thompbr01,1998,1998,1,13,46,10,27,5,16,1,3,1,5,3,4,0,5,6,26,.370,.313,.333,3.5,2.0,0.4,0.2
328,Dijon Thompson\thompdi01,2006,2006,1,10,43,11,25,4,11,2,2,4,11,1,3,1,2,6,28,.440,.364,1.000,4.3,2.8,1.1,0.1
329,Marcus Thornton\thornma01,2015,2015,1,9,81,13,40,2,19,4,5,4,13,2,6,0,5,3,32,.325,.105,.800,9.0,3.6,1.4,0.2
330,Wayman Tisdale\tisdawa01,1995,1997,3,181,3206,715,1509,0,0,238,319,173,581,123,52,84,163,489,1668,.474,,.746,17.7,9.2,3.2,0.7
331,Anthony Tolliver\tollian01,2015,2015,1,24,272,26,74,24,62,4,6,6,44,10,4,1,11,20,80,.351,.387,.667,11.3,3.3,1.8,0.4
332,Sedric Toney\toneyse01,1986,1986,1,10,206,26,59,3,10,20,30,3,23,26,5,0,19,18,75,.441,.300,.667,20.6,7.5,2.3,2.6
333,Cezary Trybanski\trybace01,2004,2004,1,4,10,0,2,0,0,0,0,0,1,0,0,1,2,1,0,.000,,,2.5,0.0,0.3,0.0
334,Jake Tsakalidis\tsakaja01,2001,2003,3,157,3072,352,750,0,1,204,308,258,738,55,39,141,170,410,908,.469,.000,.662,19.6,5.8,4.7,0.4
335,Nikoloz Tskitishvili\tskitni01,2006,2006,1,12,86,12,33,1,3,8,12,9,20,3,1,2,4,8,33,.364,.333,.667,7.2,2.8,1.7,0.3
336,Alando Tucker\tuckeal02,2008,2010,3,47,401,73,173,10,34,47,60,28,46,15,5,2,18,21,203,.422,.294,.783,8.5,4.3,1.0,0.3
337,P.J. Tucker\tuckepj01,2013,2017,5,377,10950,1122,2591,297,855,491,649,666,2235,622,470,99,428,873,3032,.433,.347,.757,29.0,8.0,5.9,1.6
338,Hedo Turkoglu\turkohe01,2011,2011,1,25,630,85,193,41,97,26,36,20,100,58,18,14,31,77,237,.440,.423,.722,25.2,9.5,4.0,2.3
339,Tyler Ulis\ulisty01,2017,2018,2,132,2781,398,988,63,225,139,172,44,223,537,118,12,204,193,998,.403,.280,.808,21.1,7.6,1.7,4.1
340,Dick Van Arsdale\vanardi01,1969,1977,9,685,24242,4328,9185,,,3404,4186,188,2452,2396,264,44,,1851,12060,.471,,.813,35.4,17.6,3.6,3.5
341,Tom Van Arsdale\vanarto01,1977,1977,1,77,1425,171,395,,,102,145,47,184,67,20,3,,163,444,.433,,.703,18.5,5.8,2.4,0.9
342,Nick Vanos\vanosni01,1986,1987,2,68,842,88,230,0,2,46,82,88,240,59,21,28,68,128,222,.383,.000,.561,12.4,3.3,3.5,0.9
343,Jake Voskuhl\voskuja01,2002,2005,4,228,3813,378,715,0,0,306,424,353,910,128,75,88,193,629,1062,.529,,.722,16.7,4.7,4.0,0.6
344,Jackson Vroman\vromaja01,2005,2005,1,10,57,6,16,0,0,4,7,5,13,7,3,2,7,11,16,.375,,.571,5.7,1.6,1.3,0.7
345,Neal Walk\walkne01,1970,1974,5,408,11232,2440,5249,,,1130,1506,235,3637,966,73,57,,1380,6010,.465,,.750,27.5,14.7,8.9,2.4
346,John Wallace\wallajo01,2002,2002,1,46,490,93,214,5,13,40,46,27,85,29,11,9,29,60,231,.435,.385,.870,10.7,5.0,1.8,0.6
347,Bob Warlick\warlibo01,1969,1969,1,63,975,212,501,,,83,137,,151,131,,,,119,507,.423,,.606,15.5,8.0,2.4,2.1
348,T.J. Warren\warretj01,2015,2019,5,222,5973,1293,2581,88,295,378,500,353,915,235,200,107,208,477,3052,.501,.298,.756,26.9,13.7,4.1,1.1
349,Hakim Warrick\warriha01,2011,2012,2,115,1919,302,626,2,21,288,393,119,388,99,40,12,115,135,894,.482,.095,.733,16.7,7.8,3.4,0.9
350,Jeff Webb\webbje01,1972,1972,1,27,129,31,65,,,5,10,,17,16,,,,21,67,.477,,.500,4.8,2.5,0.6,0.6
351,Sonny Weems\weemsso01,2016,2016,1,36,421,35,89,13,32,7,13,6,41,47,10,1,37,40,90,.393,.406,.538,11.7,2.5,1.1,1.3
352,Walt Wesley\weslewa01,1973,1973,1,45,364,63,155,,,18,34,,113,24,,,,56,144,.406,,.529,8.1,3.2,2.5,0.5
353,Mark West\westma01,1988,2000,8,543,11647,1493,2434,0,1,775,1289,1037,3241,231,188,897,652,1642,3761,.613,.000,.601,21.4,6.9,6.0,0.4
354,Paul Westphal\westppa01,1976,1984,6,465,14212,3785,7340,33,119,1961,2356,261,1002,2429,753,157,796,941,9564,.516,.277,.832,30.6,20.6,2.2,5.2
355,John Wetzel\wetzejo01,1971,1976,3,158,1759,177,416,,,127,155,8,256,189,9,3,,257,481,.425,,.819,11.1,3.0,1.6,1.2
356,Jahidi White\whiteja01,2004,2004,1,61,861,99,189,0,0,63,126,97,261,7,25,50,65,176,261,.524,,.500,14.1,4.3,4.3,0.1
357,Rory White\whitero01,1983,1984,2,87,934,196,378,0,1,94,151,77,167,44,29,4,69,79,486,.519,.000,.623,10.7,5.6,1.9,0.5
358,Alan Williams\willial03,2016,2018,3,62,846,155,309,0,1,85,135,111,352,36,36,38,50,153,395,.502,.000,.630,13.6,6.4,5.7,0.6
359,Earl Williams\williea01,1975,1975,1,79,1040,163,394,,,45,103,156,456,95,28,32,,146,371,.414,,.437,13.2,4.7,5.8,1.2
360,Hot Rod Williams\williho01,1996,1998,3,201,5122,479,1015,0,3,293,421,414,1246,211,146,238,157,484,1251,.472,.000,.696,25.5,6.2,6.2,1.0
361,Micheal Williams\willimi02,1990,1990,1,6,26,2,10,0,0,1,2,1,1,4,0,0,5,0,5,.200,,.500,4.3,0.8,0.2,0.7
362,Scott Williams\willisc01,2003,2004,2,85,1139,173,393,2,4,42,55,95,265,28,42,28,38,204,390,.440,.500,.764,13.4,4.6,3.1,0.3
363,George Wilson\wilsoge01,1969,1969,1,41,1294,191,481,,,93,151,,505,76,,,,145,475,.397,,.616,31.6,11.6,12.3,1.9
364,David Wood\woodda01,1996,1996,1,4,34,1,6,0,0,2,2,2,5,2,1,0,2,9,4,.167,,1.000,8.5,1.0,1.3,0.5
365,Brandan Wright\wrighbr03,2015,2015,1,40,858,120,207,0,3,40,60,70,194,23,32,47,16,54,280,.580,.000,.667,21.5,7.0,4.9,0.6
366,Michael Young\youngmi01,1985,1985,1,2,11,2,6,0,1,0,0,1,2,0,0,0,0,0,4,.333,.000,,5.5,2.0,1.0,0.0
367,Luke Zeller\zellelu01,2013,2013,1,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,.346,.200,,3.6,1.2,0.6,0.2
