,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
198,Steve Kuberski\kuberst01,1975,1975,1,59,517,62,159,,,44,56,52,123,35,11,3,,59,168,.390,,.786,8.8,2.8,2.1,0.6
199,Toni Kukoc\kukocto01,2003,2006,4,254,5343,681,1637,231,694,366,510,184,847,729,212,80,362,401,1959,.416,.333,.718,21.0,7.7,3.3,2.9
200,Doron Lamb\lambdo01,2013,2013,1,23,280,33,95,4,16,8,15,3,17,20,7,0,16,27,78,.347,.250,.533,12.2,3.4,0.7,0.9
201,Jeff Lamp\lampje01,1986,1986,1,44,701,109,243,3,13,55,64,34,121,64,20,3,30,88,276,.449,.231,.859,15.9,6.3,2.8,1.5
202,Jerome Lane\laneje01,1992,1992,1,2,6,1,1,0,0,1,2,1,4,0,0,0,1,1,3,1.000,,.500,3.0,1.5,2.0,0.0
203,Andrew Lang\langan01,1997,1998,2,109,1886,169,391,0,1,88,118,150,431,41,44,74,72,241,426,.432,.000,.746,17.3,3.9,4.0,0.4
204,Dan Langhi\langhda01,2004,2004,1,2,20,3,8,1,2,0,0,0,1,0,0,0,0,2,7,.375,.500,,10.0,3.5,0.5,0.0
205,Bob Lanier\laniebo01,1980,1984,5,278,7463,1485,2745,2,8,788,1070,463,1635,751,273,241,599,818,3760,.541,.250,.736,26.8,13.5,5.9,2.7
206,Rich Laurel\laureri01,1978,1978,1,10,57,10,31,,,4,4,6,10,3,3,1,4,10,24,.323,,1.000,5.7,2.4,1.0,0.3
207,Russ Lee\leeru01,1973,1974,2,82,443,87,221,,,43,59,16,83,58,11,0,,65,217,.394,,.729,5.4,2.6,1.0,0.7
208,Jon Leuer\leuerjo01,2012,2012,1,46,555,97,191,3,9,21,28,45,120,25,14,17,18,67,218,.508,.333,.750,12.1,4.7,2.6,0.5
209,DeAndre Liggins\liggide01,2018,2018,1,31,480,22,65,11,36,2,5,5,49,27,27,10,13,61,57,.338,.306,.400,15.5,1.8,1.6,0.9
210,Alton Lister\listeal01,1982,1996,7,471,9793,1387,2631,0,4,659,1147,924,3062,549,223,804,854,1642,3433,.527,.000,.575,20.8,7.3,6.5,1.2
211,Shaun Livingston\livinsh01,2012,2012,1,58,1092,127,271,2,3,62,79,39,123,122,27,20,66,79,318,.469,.667,.785,18.8,5.5,2.1,2.1
212,Scott Lloyd\lloydsc01,1977,1978,2,83,1137,165,357,,,101,136,88,236,42,24,18,7,180,431,.462,,.743,13.7,5.2,2.8,0.5
213,Brad Lohaus\lohaubr01,1990,1994,5,350,6381,937,2131,267,748,211,302,293,1180,444,211,340,321,779,2352,.440,.357,.699,18.2,6.7,3.4,1.3
