,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Tom Abernethy\abernto01,1981,1981,1,29,259,24,56,0,1,11,19,19,40,18,6,3,6,29,59,.429,.000,.579,8.9,2.0,1.4,0.6
2,Matthew Aitch\aitchma01,1968,1968,1,45,637,100,247,0,2,52,77,,160,18,,,37,69,252,.405,.000,.675,14.2,5.6,3.6,0.4
3,Jerome Allen\allenje01,1997,1997,1,51,692,57,147,23,59,27,47,13,65,109,27,0,56,67,164,.388,.390,.574,13.6,3.2,1.3,2.1
4,Lavoy Allen\allenla01,2014,2017,4,217,3652,426,871,0,1,108,163,403,1000,212,61,114,142,338,960,.489,.000,.663,16.8,4.4,4.6,1.0
5,Lou Amundson\amundlo01,2012,2012,1,60,753,89,207,0,0,35,82,94,222,14,27,44,45,125,213,.430,,.427,12.6,3.6,3.7,0.2
6,Jerome Anderson\anderje01,1977,1977,1,27,164,26,59,,,14,20,9,12,10,6,2,,26,66,.441,,.700,6.1,2.4,0.4,0.4
7,Kenny Anderson\anderke01,2004,2004,1,44,905,113,256,1,4,35,48,19,81,125,26,5,50,73,262,.441,.250,.729,20.6,6.0,1.8,2.8
8,Ron Anderson\anderro01,1986,1988,3,197,3287,629,1284,2,15,266,360,287,615,268,127,15,204,268,1526,.490,.133,.739,16.7,7.7,3.1,1.4
9,Ike Anigbogu\anigbik01,2018,2019,2,12,33,4,11,0,0,5,6,5,10,0,1,4,3,1,13,.364,,.833,2.8,1.1,0.8,0.0
10,Darrell Armstrong\armstda01,2007,2007,1,81,1275,156,377,72,214,73,93,34,135,191,70,6,76,102,457,.414,.336,.785,15.7,5.6,1.7,2.4
