,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
397,Ben Simmons\simmobe01,2018,2019,2,85,2854,564,1038,0,11,201,360,152,700,695,146,74,287,223,1329,.543,.000,.558,33.6,15.6,8.2,8.2
398,Connie Simmons\simmoco01,1955,1955,1,,,,,,,,,,,,,,,,,,,,,,,
399,Ralph Simpson\simpsra01,1979,1979,1,37,452,87,196,,,28,40,16,35,58,25,1,47,27,202,.444,,.700,12.2,5.5,0.9,1.6
400,Henry Sims\simshe01,2014,2015,2,99,2106,350,731,4,23,188,244,203,540,126,62,43,132,219,892,.479,.174,.770,21.3,9.0,5.5,1.3
401,Scott Skiles\skilesc01,1996,1996,1,10,236,20,57,15,34,8,10,1,16,38,7,0,16,21,63,.351,.441,.800,23.6,6.3,1.6,3.8
402,Al Skinner\skinnal01,1979,1980,2,24,319,37,91,0,0,27,32,15,44,42,18,1,36,62,101,.407,,.844,13.3,4.2,1.8,1.8
403,Brian Skinner\skinnbr01,2003,2005,2,101,1627,204,388,0,1,102,178,159,428,24,52,59,75,205,510,.526,.000,.573,16.1,5.0,4.2,0.2
404,Belus Smawley\smawlbe01,1951,1951,1,16,,40,118,,,44,54,,48,36,,,,36,124,.339,,.815,,7.8,3.0,2.3
405,Derek Smith\smithde02,1989,1990,2,111,2100,366,734,20,52,195,279,93,258,177,59,35,129,298,947,.499,.385,.699,18.9,8.5,2.3,1.6
406,Don Smith\smithdo02,1975,1975,1,54,538,131,321,,,21,21,14,30,47,20,3,,45,283,.408,,1.000,10.0,5.2,0.6,0.9
407,Ish Smith\smithis01,2015,2016,2,75,2299,427,1061,63,192,117,181,39,286,500,96,23,199,133,1034,.402,.328,.646,30.7,13.8,3.8,6.7
408,Jabari Smith\smithja01,2002,2002,1,11,110,20,42,0,2,15,20,6,14,5,4,2,3,19,55,.476,.000,.750,10.0,5.0,1.3,0.5
409,Jason Smith\smithja02,2008,2010,2,132,1765,216,484,14,43,83,124,131,365,53,43,78,83,252,529,.446,.326,.669,13.4,4.0,2.8,0.4
410,Joe Smith\smithjo02,1998,2007,2,84,2054,312,699,0,5,182,221,165,493,73,49,33,115,219,806,.446,.000,.824,24.5,9.6,5.9,0.9
411,Steven Smith\smithst03,2007,2007,1,8,28,2,8,0,0,1,2,1,6,0,1,0,2,4,5,.250,,.500,3.5,0.6,0.8,0.0
412,Eric Snow\snower01,1998,2004,7,452,15465,1589,3679,35,178,1162,1464,279,1463,2965,702,46,967,1229,4375,.432,.197,.794,34.2,9.7,3.2,6.6
413,Darius Songaila\songada01,2011,2011,1,10,71,7,15,0,0,2,4,2,10,2,0,0,4,16,16,.467,,.500,7.1,1.6,1.0,0.2
414,Dave Sorenson\sorenda01,1973,1973,1,48,626,113,248,,,59,79,,173,31,,,,91,285,.456,,.747,13.0,5.9,3.6,0.6
415,Jim Spanarkel\spanaji01,1980,1980,1,40,442,72,153,0,2,54,65,27,54,51,12,6,57,58,198,.471,.000,.831,11.1,5.0,1.4,1.3
416,Marreese Speights\speigma01,2009,2011,3,205,3013,608,1237,3,17,265,350,272,755,96,64,109,137,453,1484,.492,.176,.757,14.7,7.2,3.7,0.5
417,Tiago Splitter\splitti01,2017,2017,1,8,76,14,31,2,6,9,11,8,22,4,1,1,6,8,39,.452,.333,.818,9.5,4.9,2.8,0.5
418,Jerry Stackhouse\stackje01,1996,1998,3,175,6615,1113,2682,211,680,979,1286,274,679,598,200,163,642,454,3416,.415,.310,.761,37.8,19.5,3.9,3.4
419,Nik Stauskas\stausni01,2016,2018,3,159,4042,462,1183,238,685,215,270,44,410,327,93,52,226,262,1377,.391,.347,.796,25.4,8.7,2.6,2.1
420,Kebu Stewart\stewake01,1998,1998,1,15,110,12,26,0,0,16,25,9,31,2,5,2,8,13,40,.462,,.640,7.3,2.7,2.1,0.1
421,Greg Stokes\stokegr01,1986,1986,1,31,350,56,119,0,1,14,21,27,57,17,14,11,19,56,126,.471,.000,.667,11.3,4.1,1.8,0.5
422,Greg Sutton\suttogr01,1996,1996,1,30,465,65,167,40,96,20,27,4,35,63,17,2,45,56,190,.389,.417,.741,15.5,6.3,1.2,2.1
423,Adonis Thomas\thomaad01,2014,2014,1,2,13,3,5,1,2,0,0,0,0,1,0,0,1,4,7,.600,.500,,6.5,3.5,0.0,0.5
424,James Thomas\thomaja02,2006,2006,1,15,124,7,13,0,0,8,14,8,31,1,0,3,7,32,22,.538,,.571,8.3,1.5,2.1,0.1
425,Kenny Thomas\thomake01,2003,2005,3,167,5435,776,1658,2,9,452,594,507,1450,261,168,61,331,490,2006,.468,.222,.761,32.5,12.0,8.7,1.6
426,Malcolm Thomas\thomama01,2015,2015,1,17,194,18,40,0,7,9,13,16,56,7,3,1,13,17,45,.450,.000,.692,11.4,2.6,3.3,0.4
427,Tim Thomas\thomati01,1998,1999,2,94,1967,333,751,67,190,190,255,114,321,105,57,20,133,206,923,.443,.353,.745,20.9,9.8,3.4,1.1
428,Hollis Thompson\thompho01,2014,2017,4,256,6233,731,1754,357,917,197,278,195,801,283,160,68,211,527,2016,.417,.389,.709,24.3,7.9,3.1,1.1
429,LaSalle Thompson\thompla01,1996,1996,1,44,773,33,83,0,0,19,24,62,199,26,19,20,37,125,85,.398,,.792,17.6,1.9,4.5,0.6
430,Paul Thompson\thomppa01,1986,1986,1,23,432,70,194,2,12,37,43,27,63,24,15,17,30,49,179,.361,.167,.860,18.8,7.8,2.7,1.0
431,Bob Thornton\thornbo01,1988,1990,3,151,1549,154,334,2,8,87,158,122,324,43,37,22,85,272,397,.461,.250,.551,10.3,2.6,2.1,0.3
432,Sedale Threatt\threase01,1984,1987,4,225,4190,668,1509,13,70,206,261,77,317,491,218,27,281,469,1555,.443,.186,.789,18.6,6.9,1.4,2.2
433,Andrew Toney\toneyan01,1981,1988,8,468,12608,2859,5718,138,403,1602,2010,235,1009,1965,369,105,1394,1341,7458,.500,.342,.797,26.9,15.9,2.2,4.2
434,Bernard Toone\toonebe01,1980,1980,1,23,124,23,64,1,7,8,10,12,34,12,4,5,16,20,55,.359,.143,.800,5.4,2.4,1.5,0.5
435,John Trapp\trappjo01,1973,1973,1,39,854,168,408,,,83,112,,186,47,,,,140,419,.412,,.741,21.9,10.7,4.8,1.2
436,John Tschogl\tschojo01,1975,1975,1,39,623,53,148,,,13,22,52,111,30,25,25,,80,119,.358,,.591,16.0,3.1,2.8,0.8
437,Jim Tucker\tuckeji01,1955,1957,3,99,1301,157,450,,,93,122,,349,52,,,,242,407,.349,,.762,13.1,4.1,3.5,0.5
438,Andre Turner\turnean01,1991,1991,1,70,1407,168,383,12,33,64,87,36,152,311,63,0,95,124,412,.439,.364,.736,20.1,5.9,2.2,4.4
439,Evan Turner\turneev01,2011,2014,4,279,8288,1285,3003,121,384,517,669,175,1521,891,216,56,527,599,3208,.428,.315,.773,29.7,11.5,5.5,3.2
440,B.J. Tyler\tylerbj01,1995,1995,1,55,809,72,189,16,51,35,50,13,62,174,36,2,97,58,195,.381,.314,.700,14.7,3.5,1.1,3.2
441,Tom Van Arsdale\vanarto01,1973,1975,3,117,4343,858,2045,,,466,559,95,607,280,75,3,,427,2182,.420,,.834,37.1,18.6,5.2,2.4
442,Keith Van Horn\vanhoke01,2003,2003,1,74,2337,459,952,65,176,193,240,159,524,93,63,30,150,251,1176,.482,.369,.804,31.6,15.9,7.1,1.3
443,Jarvis Varnado\varnaja01,2014,2014,1,23,337,36,60,0,0,27,52,19,63,13,10,29,10,61,99,.600,,.519,14.7,4.3,2.7,0.6
