,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
136,Darko Milicic\milicda01,2008,2009,2,131,2697,356,766,0,1,126,226,210,688,92,54,165,149,319,838,.465,.000,.558,20.6,6.4,5.3,0.7
137,Mike Miller\millemi01,2003,2014,7,453,13597,2180,4570,844,2011,778,1008,259,2020,1351,286,108,838,944,5982,.477,.420,.772,30.0,13.2,4.5,3.0
138,Eric Mobley\mobleer01,1996,1997,2,62,918,100,194,1,2,53,113,81,186,36,18,33,78,126,254,.515,.500,.469,14.8,4.1,3.0,0.6
139,Darius Morris\morrida01,2014,2014,1,5,66,6,16,2,7,1,3,4,8,8,3,0,6,3,15,.375,.286,.333,13.2,3.0,1.6,1.6
140,Lawrence Moten\motenla01,1996,1997,2,111,1787,283,688,59,196,113,174,79,180,179,77,32,125,137,738,.411,.301,.649,16.1,6.6,1.6,1.6
141,Xavier Munford\munfoxa02,2016,2016,1,14,244,32,77,9,23,7,14,3,31,22,13,3,15,25,80,.416,.391,.500,17.4,5.7,2.2,1.6
142,Eric Murdock\murdoer01,1996,1996,1,64,1480,220,521,39,122,106,131,21,155,292,129,9,120,124,585,.422,.320,.809,23.1,9.1,2.4,4.6
143,Makhtar N'Diaye\ndiayma01,1999,1999,1,4,27,1,4,0,0,3,4,3,5,1,0,1,1,9,5,.250,,.750,6.8,1.3,1.3,0.3
144,Juan Carlos Navarro\navarju01,2008,2008,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849,25.8,10.9,2.6,2.2
145,Ivano Newbill\newbiiv01,1998,1998,1,28,249,20,57,1,1,17,30,24,69,9,10,3,17,38,58,.351,1.000,.567,8.9,2.1,2.5,0.3
146,Moochie Norris\norrimo01,1997,1997,1,8,89,4,22,2,10,2,5,3,12,23,4,0,5,5,12,.182,.200,.400,11.1,1.5,1.5,2.9
147,Bo Outlaw\outlabo01,2004,2004,1,82,1606,159,312,0,4,61,116,125,342,90,73,70,69,170,379,.510,.000,.526,19.6,4.6,4.2,1.1
148,Chris Owens\owensch01,2003,2003,1,1,6,2,3,0,0,0,0,1,1,0,0,0,1,0,4,.667,,,6.0,4.0,1.0,0.0
149,Scott Padgett\padgesc01,2007,2007,1,7,33,1,7,0,4,0,2,5,9,0,1,0,1,2,2,.143,.000,.000,4.7,0.3,1.3,0.0
150,Milt Palacio\palacmi01,2000,2000,1,53,394,43,98,0,2,22,37,17,51,48,20,0,44,32,108,.439,.000,.595,7.4,2.0,1.0,0.9
151,Jeremy Pargo\pargoje01,2012,2012,1,44,424,50,150,10,38,16,27,12,37,55,15,0,46,46,126,.333,.263,.593,9.6,2.9,0.8,1.3
152,Cherokee Parks\parksch02,1999,2000,2,104,1926,190,420,0,2,54,92,130,426,71,57,73,77,229,434,.452,.000,.587,18.5,4.2,4.1,0.7
153,Chandler Parsons\parsoch01,2017,2019,3,73,1412,190,473,79,224,52,70,21,178,126,39,17,61,112,511,.402,.353,.743,19.3,7.0,2.4,1.7
154,Anthony Peeler\peelean01,1997,1998,2,80,2493,437,1083,133,362,113,139,60,267,279,114,17,163,184,1120,.404,.367,.813,31.2,14.0,3.3,3.5
155,Elliot Perry\perryel01,2002,2002,1,2,48,5,10,0,0,1,2,0,4,7,3,0,7,6,11,.500,,.500,24.0,5.5,2.0,3.5
156,Wesley Person\persowe01,2003,2004,2,82,2225,307,708,111,274,85,105,26,210,135,47,21,72,75,810,.434,.405,.810,27.1,9.9,2.6,1.6
157,Dexter Pittman\pittmde01,2013,2013,1,7,20,1,6,0,0,0,3,3,5,0,0,0,1,4,2,.167,,.000,2.9,0.3,0.7,0.0
158,Quincy Pondexter\pondequ01,2012,2015,4,168,3055,315,752,110,332,134,184,128,341,136,72,17,97,250,874,.419,.331,.728,18.2,5.2,2.0,0.8
159,James Posey\poseyja01,2004,2005,2,132,3833,495,1126,167,468,374,446,137,622,210,185,63,181,382,1531,.440,.357,.839,29.0,11.6,4.7,1.6
160,Leon Powe\powele01,2011,2011,1,16,141,30,60,0,2,28,46,8,25,5,3,1,7,24,88,.500,.000,.609,8.8,5.5,1.6,0.3
161,Brent Price\pricebr01,2000,2001,2,47,454,44,130,26,72,40,46,9,41,74,19,1,51,71,154,.338,.361,.870,9.7,3.3,0.9,1.6
162,Tayshaun Prince\princta01,2013,2015,3,139,3750,419,1011,50,143,81,127,82,472,241,75,37,91,126,969,.414,.350,.638,27.0,7.0,3.4,1.7
163,Ivan Rabb\rabbiv01,2018,2019,2,37,516,86,152,0,0,29,36,53,158,32,12,13,35,55,201,.566,,.806,13.9,5.4,4.3,0.9
164,Zach Randolph\randoza01,2010,2017,8,551,17928,3731,7834,63,286,1736,2293,1895,5612,1085,429,154,1058,1305,9261,.476,.220,.757,32.5,16.8,10.2,2.0
165,Xavier Rathan-Mayes\rathaxa01,2018,2018,1,5,118,12,42,1,14,4,9,0,5,18,6,3,11,18,29,.286,.071,.444,23.6,5.8,1.0,3.6
166,Bryant Reeves\reevebr01,1996,2001,6,395,12071,1999,4208,2,27,945,1345,856,2745,623,200,302,744,1365,4945,.475,.074,.703,30.6,12.5,6.9,1.6
167,Rodrick Rhodes\rhodero01,1999,1999,1,10,123,11,44,1,7,11,19,7,13,10,4,2,15,16,34,.250,.143,.579,12.3,3.4,1.3,1.0
168,Jeremy Richardson\richaje01,2008,2008,1,3,15,0,6,0,2,0,0,0,1,1,0,0,1,2,0,.000,.000,,5.0,0.0,0.3,0.3
169,Anthony Roberson\roberan02,2006,2006,1,16,88,14,31,5,10,2,2,0,6,5,1,0,3,6,35,.452,.500,1.000,5.5,2.2,0.4,0.3
170,Lawrence Roberts\roberla01,2006,2007,2,87,1150,114,252,0,4,106,154,127,310,35,44,15,41,163,334,.452,.000,.688,13.2,3.8,3.6,0.4
171,Chris Robinson\robinch01,1997,1998,2,57,824,92,245,41,113,17,28,23,84,75,35,10,49,106,242,.376,.363,.607,14.5,4.2,1.5,1.3
172,Larry Robinson\robinla01,1998,1998,1,6,41,6,19,3,6,2,2,2,12,1,4,0,2,0,17,.316,.500,1.000,6.8,2.8,2.0,0.2
173,Roy Rogers\rogerro02,1997,1997,1,82,1848,244,483,1,1,54,94,139,386,46,21,163,86,214,543,.505,1.000,.574,22.5,6.6,4.7,0.6
174,Quinton Ross\rossqu01,2009,2009,1,68,1164,99,259,33,88,34,42,29,126,47,32,14,36,114,265,.382,.375,.810,17.1,3.9,1.9,0.7
175,Jason Sasser\sasseja01,1999,1999,1,6,39,5,11,0,0,1,2,2,7,2,2,0,2,4,11,.455,,.500,6.5,1.8,1.2,0.3
176,Byron Scott\scottby01,1996,1996,1,80,1894,271,676,74,221,203,243,40,192,123,63,22,100,126,819,.401,.335,.835,23.7,10.2,2.4,1.5
177,Dennis Scott\scottde01,2000,2000,1,66,1263,125,333,71,189,48,57,16,106,69,28,9,30,104,369,.375,.376,.842,19.1,5.6,1.6,1.0
178,Josh Selby\selbyjo01,2012,2013,2,38,296,31,94,3,21,18,25,2,20,34,9,0,36,24,83,.330,.143,.720,7.8,2.2,0.5,0.9
179,Wayne Selden\seldewa01,2017,2019,3,50,941,146,340,57,153,60,81,19,72,82,24,6,68,78,409,.429,.373,.741,18.8,8.2,1.4,1.6
180,Kobi Simmons\simmoko01,2018,2018,1,32,643,80,189,11,39,25,25,14,50,68,18,5,44,61,196,.423,.282,1.000,20.1,6.1,1.6,2.1
181,Brian Skinner\skinnbr01,2012,2012,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.000,,,4.0,0.0,0.0,0.0
182,Ish Smith\smithis01,2011,2011,1,15,113,11,32,0,2,5,11,1,5,15,5,0,8,11,27,.344,.000,.455,7.5,1.8,0.3,1.0
183,Michael Smith\smithmi02,1998,1999,2,78,1804,144,277,0,2,124,201,220,556,107,72,24,96,167,412,.520,.000,.617,23.1,5.3,7.1,1.4
184,Russ Smith\smithru01,2015,2016,2,21,102,13,37,2,10,20,26,2,12,17,8,1,12,12,48,.351,.200,.769,4.9,2.3,0.6,0.8
185,Theron Smith\smithth01,2004,2004,1,20,178,16,43,6,12,6,8,13,41,7,5,5,14,18,44,.372,.500,.750,8.9,2.2,2.1,0.4
186,Will Solomon\solomwi01,2002,2002,1,62,872,113,331,46,162,49,73,12,68,92,35,7,62,76,321,.341,.284,.671,14.1,5.2,1.1,1.5
187,Marreese Speights\speigma01,2012,2013,2,100,1924,327,735,2,8,132,176,209,563,66,31,56,109,233,788,.445,.250,.750,19.2,7.9,5.6,0.7
188,Joe Stephens\stephjo01,2000,2000,1,13,181,19,51,0,8,3,4,13,36,11,7,3,6,9,41,.373,.000,.750,13.9,3.2,2.8,0.8
189,Lance Stephenson\stephla01,2016,2016,1,26,692,146,308,11,31,66,81,21,115,73,19,6,46,56,369,.474,.355,.815,26.6,14.2,4.4,2.8
190,Alex Stepheson\stephal01,2016,2016,1,4,61,8,26,0,0,4,10,18,26,2,1,3,0,8,20,.308,,.400,15.3,5.0,6.5,0.5
191,Jarnell Stokes\stokeja01,2015,2016,2,21,130,21,37,0,0,15,28,17,36,4,5,5,7,25,57,.568,,.536,6.2,2.7,1.7,0.2
192,Damon Stoudamire\stoudda01,2006,2008,3,118,2987,362,918,131,373,140,171,68,305,539,85,3,206,190,995,.394,.351,.819,25.3,8.4,2.6,4.6
193,Erick Strickland\stricer01,2001,2001,1,22,409,41,136,14,48,44,51,9,76,66,22,1,27,42,140,.301,.292,.863,18.6,6.4,3.5,3.0
194,Stromile Swift\swiftst01,2001,2008,7,441,8980,1422,3021,1,24,984,1387,748,2128,243,307,607,571,1080,3829,.471,.042,.709,20.4,8.7,4.8,0.6
195,Marquis Teague\teaguma01,2018,2018,1,3,74,4,16,1,4,2,5,1,6,13,4,0,3,5,11,.250,.250,.400,24.7,3.7,2.0,4.3
196,Garrett Temple\templga01,2019,2019,1,4,123,17,39,11,23,6,9,2,12,6,4,3,4,10,51,.436,.478,.667,30.8,12.8,3.0,1.5
197,Hasheem Thabeet\thabeha01,2010,2011,2,113,1252,94,170,0,0,73,128,109,318,15,24,104,60,235,261,.553,,.570,11.1,2.3,2.8,0.1
198,John Thomas\thomajo02,2006,2006,1,3,25,2,2,0,0,0,0,0,0,1,0,1,2,3,4,1.000,,,8.3,1.3,0.0,0.3
199,Tyrus Thomas\thomaty01,2015,2015,1,2,7,1,1,0,0,2,2,0,0,1,0,0,0,0,4,1.000,,1.000,3.5,2.0,0.0,0.5
200,Otis Thorpe\thorpot01,1998,1998,1,47,1574,205,430,0,4,118,170,100,371,161,30,23,115,158,528,.477,.000,.694,33.5,11.2,7.9,3.4
