,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
265,Gary Neal\nealga01,2011,2013,3,204,4375,743,1715,301,757,198,242,46,457,342,84,8,207,316,1985,.433,.398,.818,21.4,9.7,2.2,1.7
266,Ed Nealy\nealyed01,1987,1988,2,128,1817,134,301,5,33,92,132,178,506,132,69,16,63,238,365,.445,.152,.697,14.2,2.9,4.0,1.0
267,Louie Nelson\nelsolo01,1977,1977,1,4,57,7,14,,,4,7,2,7,3,2,0,,9,18,.500,,.571,14.3,4.5,1.8,0.8
268,Rasho Nesterovic\nestera01,2004,2006,3,232,5653,698,1464,0,2,86,174,555,1401,218,103,370,233,663,1482,.477,.000,.494,24.4,6.4,6.0,0.9
269,Bob Netolicky\netolbo01,1973,1974,2,103,3897,750,1542,0,4,298,450,381,952,283,7,11,248,187,1798,.486,.000,.662,37.8,17.5,9.2,2.7
270,Chuck Nevitt\nevitch01,1994,1994,1,1,1,0,0,0,0,3,6,1,1,0,0,0,1,1,3,,,.500,1.0,3.0,1.0,0.0
271,Ira Newble\newblir01,2001,2001,1,27,184,21,55,4,9,8,16,13,35,6,2,4,7,18,54,.382,.444,.500,6.8,2.0,1.3,0.2
272,Gaylon Nickerson\nickega01,1997,1997,1,3,36,3,9,0,1,7,7,1,4,1,0,1,0,1,13,.333,.000,1.000,12.0,4.3,1.3,0.3
273,Rich Niemann\niemari01,1972,1972,1,33,524,48,98,0,0,25,34,46,155,24,,,27,87,121,.490,,.735,15.9,3.7,4.7,0.7
274,Kurt Nimphius\nimphku01,1988,1988,1,72,919,128,257,0,1,60,83,62,153,53,22,56,49,141,316,.498,.000,.723,12.8,4.4,2.1,0.7
275,Sylvester Norris\norrisy01,1980,1980,1,17,189,18,43,0,0,4,6,10,43,6,3,12,19,41,40,.419,,.667,11.1,2.4,2.5,0.4
276,Steve Novak\novakst01,2011,2011,1,23,197,31,59,23,42,8,8,4,23,3,1,5,4,11,93,.525,.548,1.000,8.6,4.0,1.0,0.1
277,Julius Nwosu\nwosuju01,1995,1995,1,23,84,9,28,0,0,13,17,11,24,3,0,3,9,20,31,.321,,.765,3.7,1.3,1.0,0.1
278,Fabricio Oberto\obertfa01,2006,2009,4,274,4176,443,774,0,4,105,174,406,1063,249,78,66,186,602,991,.572,.000,.603,15.2,3.6,3.9,0.9
279,Mark Olberding\olberma01,1976,1982,7,536,13845,1998,4091,3,22,1627,2019,858,3004,1391,396,185,916,1825,5626,.488,.136,.806,25.8,10.5,5.6,2.6
280,Matt Othick\othicma01,1993,1993,1,4,39,3,5,2,4,0,2,1,2,7,1,0,4,7,8,.600,.500,.000,9.8,2.0,0.5,1.8
281,Larry Owens\owensla01,2011,2011,1,7,31,3,6,1,3,2,4,0,4,1,2,0,0,4,9,.500,.333,.500,4.4,1.3,0.6,0.1
