,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
38,Doug Bolstorff\bolstdo01,1958,1958,1,3,21,2,5,,,0,0,,0,0,,,,1,4,.400,,,7.0,1.3,0.0,0.0
39,Walter Bond\bondwa01,1995,1995,1,5,51,3,12,1,4,3,4,1,5,7,1,0,3,10,10,.250,.250,.750,10.2,2.0,1.0,1.4
40,Jim Bostic\bostiji01,1978,1978,1,4,48,12,22,,,2,5,8,16,3,0,0,3,5,26,.545,,.400,12.0,6.5,4.0,0.8
41,Don Boven\bovendo01,1953,1953,1,17,377,36,111,,,32,43,,58,21,,,,57,104,.324,,.744,22.2,6.1,3.4,1.2
42,Dennis Boyd\boydde01,1979,1979,1,5,40,3,12,,,0,0,0,2,7,0,0,6,5,6,.250,,,8.0,1.2,0.4,1.4
43,Avery Bradley\bradlav01,2018,2018,1,40,1268,233,570,74,194,61,80,19,94,83,46,7,93,80,601,.409,.381,.763,31.7,15.0,2.4,2.1
44,Jim Brewer\breweji01,1979,1979,1,25,310,27,60,,,3,15,34,105,13,13,10,19,38,57,.450,,.200,12.4,2.3,4.2,0.5
45,Primoz Brezec\brezepr01,2008,2008,1,17,98,10,13,0,0,7,14,7,19,4,2,2,5,23,27,.769,,.500,5.8,1.6,1.1,0.2
46,Frankie Brian\brianfr01,1952,1956,5,306,7616,1034,2909,,,1029,1255,,659,683,,,,720,3097,.355,,.820,24.9,10.1,2.2,2.2
47,Wayman Britt\brittwa01,1978,1978,1,7,16,3,10,,,3,4,1,4,2,1,0,1,3,9,.300,,.750,2.3,1.3,0.6,0.3
48,Bruce Brown\brownbr01,2019,2019,1,2,21,0,3,0,2,0,2,0,2,1,0,1,1,5,0,.000,.000,.000,10.5,0.0,1.0,0.5
49,Kwame Brown\brownkw01,2009,2010,2,106,1659,152,293,0,1,96,220,144,467,54,39,36,93,231,400,.519,.000,.436,15.7,3.8,4.4,0.5
50,Marcus Brown\brownma01,2000,2000,1,6,45,4,14,0,7,2,2,3,7,3,0,0,3,8,10,.286,.000,1.000,7.5,1.7,1.2,0.5
