,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
170,Terrence Ross\rosste01,2013,2017,5,363,8444,1294,3066,598,1589,246,308,145,945,319,267,111,284,643,3432,.422,.376,.799,23.3,9.5,2.6,0.9
171,Clifford Rozier\roziecl01,1997,1997,1,41,732,79,173,0,2,31,61,102,234,31,24,44,29,97,189,.457,.000,.508,17.9,4.6,5.7,0.8
172,John Salley\sallejo01,1996,1996,1,25,482,51,105,0,0,47,65,26,97,39,11,12,39,72,149,.486,,.723,19.3,6.0,3.9,1.6
173,John Salmons\salmojo01,2014,2014,1,60,1281,109,296,47,121,33,45,12,117,103,35,11,40,92,298,.368,.388,.733,21.4,5.0,2.0,1.7
174,Luis Scola\scolalu01,2016,2016,1,76,1636,269,598,65,161,61,84,84,360,66,46,27,68,178,664,.450,.404,.726,21.5,8.7,4.7,0.9
175,Pascal Siakam\siakapa01,2017,2019,3,141,2641,374,735,33,145,77,123,150,575,187,90,91,106,290,858,.509,.228,.626,18.7,6.1,4.1,1.3
176,Reggie Slater\slatere01,1997,1999,3,134,2331,324,689,0,2,295,482,210,470,100,57,39,156,285,943,.470,.000,.612,17.4,7.0,3.5,0.7
177,Uros Slokar\slokaur01,2007,2007,1,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,.538,.500,.692,3.6,1.9,0.7,0.1
178,Will Solomon\solomwi01,2009,2009,1,39,544,79,181,15,57,20,24,9,43,123,20,4,49,60,193,.436,.263,.833,13.9,4.9,1.1,3.2
179,Pape Sow\sowpa01,2005,2007,3,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,.416,,.678,11.6,2.9,2.8,0.2
180,Michael Stewart\stewami01,1999,2002,4,121,999,61,163,0,0,52,86,104,247,16,17,53,38,198,174,.374,,.605,8.3,1.4,2.0,0.1
181,Greg Stiemsma\stiemgr01,2015,2015,1,17,66,6,8,0,0,2,4,9,15,3,2,0,7,15,14,.750,,.500,3.9,0.8,0.9,0.2
182,Peja Stojakovic\stojape01,2011,2011,1,2,22,7,10,4,6,2,2,0,3,1,0,0,2,0,20,.700,.667,1.000,11.0,10.0,1.5,0.5
183,Ed Stokes\stokeed01,1998,1998,1,4,17,1,3,0,0,1,2,1,4,1,1,2,2,4,3,.333,,.500,4.3,0.8,1.0,0.3
184,Julyan Stone\stoneju01,2014,2014,1,21,120,7,17,2,8,2,3,2,20,12,3,0,5,13,18,.412,.250,.667,5.7,0.9,1.0,0.6
185,Damon Stoudamire\stoudda01,1996,1998,3,200,8209,1399,3369,374,1038,745,909,208,828,1761,301,37,714,440,3917,.415,.360,.820,41.0,19.6,4.1,8.8
186,Rod Strickland\stricro02,2004,2004,1,15,282,28,84,0,3,15,22,10,37,59,8,4,18,17,71,.333,.000,.682,18.8,4.7,2.5,3.9
187,Jared Sullinger\sullija01,2017,2017,1,11,118,15,47,3,18,4,8,10,27,3,4,1,4,17,37,.319,.167,.500,10.7,3.4,2.5,0.3
188,Zan Tabak\tabakza01,1996,1998,3,119,2302,373,734,0,2,100,191,196,523,112,45,69,166,356,846,.508,.000,.524,19.3,7.1,4.4,0.9
189,Sebastian Telfair\telfase01,2013,2013,1,13,185,18,62,10,37,10,12,1,16,39,9,1,11,20,56,.290,.270,.833,14.2,4.3,1.2,3.0
190,John Thomas\thomajo02,1998,2000,3,115,1237,134,263,0,2,58,110,118,245,28,32,26,48,220,326,.510,.000,.527,10.8,2.8,2.1,0.2
191,Jason Thompson\thompja02,2016,2016,1,19,292,32,66,5,15,18,22,22,80,10,8,12,8,40,87,.485,.333,.818,15.4,4.6,4.2,0.5
192,Gary Trent\trentga01,1998,1998,1,13,355,64,146,0,3,31,49,43,104,14,8,8,22,46,159,.438,.000,.633,27.3,12.2,8.0,1.1
193,P.J. Tucker\tuckepj01,2007,2017,2,41,692,63,150,24,60,19,30,34,152,29,33,5,20,65,169,.420,.400,.633,16.9,4.1,3.7,0.7
194,Hedo Turkoglu\turkohe01,2010,2010,1,74,2272,276,674,108,289,175,226,42,343,304,55,32,125,220,835,.409,.374,.774,30.7,11.3,4.6,4.1
