,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
445,Kiki Vandeweghe\vandeki01,1989,1992,4,191,4441,845,1750,90,236,419,473,139,357,243,84,28,184,275,2199,.483,.381,.886,23.3,11.5,1.9,1.3
446,Noah Vonleh\vonleno01,2019,2019,1,5,85,13,23,0,1,12,18,14,43,7,1,3,2,8,38,.565,.000,.667,17.0,7.6,8.6,1.4
447,Sasha Vujacic\vujacsa01,2016,2017,2,103,1316,148,413,75,217,49,63,38,208,136,47,7,60,121,420,.358,.346,.778,12.8,4.1,2.0,1.3
448,Neal Walk\walkne01,1975,1977,3,123,1749,337,779,,,107,131,121,493,147,37,28,,286,781,.433,,.817,14.2,6.3,4.0,1.2
449,Darrell Walker\walkeda01,1984,1986,3,245,5836,970,2260,4,42,641,887,302,665,1029,440,72,590,662,2585,.429,.095,.723,23.8,10.6,2.7,4.2
450,Henry Walker\walkebi01,2010,2012,3,120,2143,289,633,145,382,85,111,40,285,108,63,16,98,244,808,.457,.380,.766,17.9,6.7,2.4,0.9
451,Kenny Walker\walkeke01,1987,1991,5,351,7387,1090,2240,7,31,533,703,605,1457,259,204,235,292,986,2720,.487,.226,.758,21.0,7.7,4.2,0.7
452,John Wallace\wallajo01,1997,2000,2,128,1585,277,568,2,7,161,212,93,290,59,31,39,139,205,717,.488,.286,.759,12.4,5.6,2.3,0.5
453,Rasheed Wallace\wallara01,2013,2013,1,21,296,55,142,22,69,14,20,11,83,6,13,15,10,40,146,.387,.319,.700,14.1,7.0,4.0,0.3
454,Charlie Ward\wardch01,1995,2004,10,580,13295,1331,3221,598,1635,493,640,234,1561,2451,744,125,993,1221,3753,.413,.366,.770,22.9,6.5,2.7,4.2
455,John Warren\warrejo01,1970,1970,1,44,272,44,108,,,24,35,,40,30,,,,53,112,.407,,.686,6.2,2.5,0.9,0.7
456,Travis Wear\weartr01,2015,2015,1,51,672,84,209,11,30,20,26,31,106,40,15,11,35,55,199,.402,.367,.769,13.2,3.9,2.1,0.8
457,Clarence Weatherspoon\weathcl01,2002,2004,3,150,3968,393,906,0,0,283,359,377,1109,141,114,86,119,325,1069,.434,,.788,26.5,7.1,7.4,0.9
458,Jake Weber\weberja01,1947,1947,1,11,,7,24,,,6,8,,,1,,,,20,20,.292,,.750,,1.8,,0.1
459,Marvin Webster\webstma01,1979,1984,6,402,8678,940,1953,1,5,546,908,894,2499,454,145,542,570,1017,2427,.481,.200,.601,21.6,6.0,6.2,1.1
460,Paul Westphal\westppa01,1982,1983,2,98,2429,404,887,16,56,184,231,28,137,539,106,24,243,241,1008,.455,.286,.797,24.8,10.3,1.4,5.5
461,James White\whiteja02,2013,2013,1,57,435,50,116,14,41,11,19,5,48,29,13,4,17,44,125,.431,.341,.579,7.6,2.2,0.8,0.5
462,Tony White\whiteto01,1988,1988,1,12,117,17,46,0,1,9,13,1,3,10,1,0,13,14,43,.370,.000,.692,9.8,3.6,0.3,0.8
463,Chris Wilcox\wilcoch01,2009,2009,1,25,330,54,102,0,1,27,53,31,82,14,8,5,20,48,135,.529,.000,.509,13.2,5.4,3.3,0.6
464,Eddie Lee Wilkins\wilkied01,1985,1991,5,296,3595,541,1170,0,7,294,528,386,962,60,75,59,271,575,1376,.462,.000,.557,12.1,4.6,3.3,0.2
465,Gerald Wilkins\wilkige01,1986,1992,7,555,17017,3406,7385,209,676,1237,1685,698,1800,1939,614,132,1220,1233,8258,.461,.309,.734,30.7,14.9,3.2,3.5
466,Buck Williams\willibu01,1997,1998,2,115,2234,250,475,0,1,167,250,244,580,74,57,53,117,297,667,.526,.000,.668,19.4,5.8,5.0,0.6
467,Derrick Williams\willide02,2016,2016,1,80,1435,254,565,44,150,194,256,47,296,75,29,9,61,69,746,.450,.293,.758,17.9,9.3,3.7,0.9
468,Frank Williams\willifr02,2003,2004,2,77,881,89,241,24,76,45,54,11,71,155,32,8,80,78,247,.369,.316,.833,11.4,3.2,0.9,2.0
469,Herb Williams\willihe01,1993,1999,7,278,3024,356,829,1,6,83,134,155,608,110,75,163,135,423,796,.429,.167,.619,10.9,2.9,2.2,0.4
470,Jerome Williams\willije01,2005,2005,1,79,1211,122,243,0,5,115,172,115,283,41,55,10,65,155,359,.502,.000,.669,15.3,4.5,3.6,0.5
471,Milt Williams\willimi01,1971,1971,1,5,13,1,1,,,2,3,,0,2,,,,3,4,1.000,,.667,2.6,0.8,0.0,0.4
472,Monty Williams\willimo01,1995,1996,2,55,565,67,155,0,8,22,46,51,115,53,22,4,46,96,156,.432,.000,.478,10.3,2.8,2.1,1.0
473,Ray Williams\willira01,1978,1984,5,399,11474,2601,5604,48,186,1305,1643,527,1500,2260,750,121,1237,1324,6555,.464,.258,.794,28.8,16.4,3.8,5.7
474,Shawne Williams\willish03,2011,2011,1,64,1323,164,385,85,212,41,49,60,239,47,39,51,46,164,454,.426,.401,.837,20.7,7.1,3.7,0.7
475,Shelden Williams\willish02,2011,2011,1,17,198,21,39,0,0,24,29,19,50,13,5,4,6,34,66,.538,,.828,11.6,3.9,2.9,0.8
476,Sly Williams\willisl01,1980,1983,4,252,5438,1116,2250,6,40,550,790,418,1054,491,285,45,437,591,2788,.496,.150,.696,21.6,11.1,4.2,1.9
477,Troy Williams\willitr02,2018,2018,1,17,290,49,100,11,33,19,27,21,59,15,19,4,18,32,128,.490,.333,.704,17.1,7.5,3.5,0.9
478,Kennard Winchester\winchke01,1992,1992,1,15,64,12,27,1,2,8,10,6,15,8,2,2,2,4,33,.444,.500,.800,4.3,2.2,1.0,0.5
479,David Wingate\wingada01,1999,2000,2,27,124,8,25,0,0,0,0,4,10,8,5,2,8,17,16,.320,,,4.6,0.6,0.4,0.3
480,Harthorne Wingo\wingoha01,1973,1976,4,212,2814,396,863,,,231,329,281,745,128,74,57,,368,1023,.459,,.702,13.3,4.8,3.5,0.6
481,Qyntel Woods\woodsqy01,2006,2006,1,49,1013,129,254,22,60,49,76,44,190,47,32,13,61,96,329,.508,.367,.645,20.7,6.7,3.9,1.0
482,Mike Woodson\woodsmi01,1981,1981,1,81,949,165,373,1,5,49,64,33,97,75,36,12,54,95,380,.442,.200,.766,11.7,4.7,1.2,0.9
483,Metta World Peace\artesro01,2014,2014,1,29,388,56,141,17,54,10,16,18,59,17,24,8,19,44,139,.397,.315,.625,13.4,4.8,2.0,0.6
484,Brad Wright\wrighbr01,1987,1987,1,14,138,20,46,0,1,12,28,25,53,1,3,6,13,20,52,.435,.000,.429,9.9,3.7,3.8,0.1
485,Max Zaslofsky\zasloma01,1951,1953,3,161,2835,747,2131,,,616,820,,497,347,,,,414,2110,.351,,.751,29.8,13.1,3.1,2.2
