,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Michael Adams\adamsmi01,1995,1996,2,50,772,104,231,43,122,51,65,11,51,162,44,5,51,66,302,.450,.352,.785,15.4,6.0,1.0,3.2
2,Rafael Addison\addisra01,1996,1997,2,94,871,126,287,8,29,39,50,44,135,64,17,12,44,126,299,.439,.276,.780,9.3,3.2,1.4,0.7
3,Jeff Adrien\adrieje01,2013,2014,2,77,969,94,208,0,2,78,125,101,284,43,25,42,40,115,266,.452,.000,.624,12.6,3.5,3.7,0.6
4,Alexis Ajinca\ajincal01,2009,2010,2,37,212,30,79,0,2,20,29,10,34,3,8,7,14,39,80,.380,.000,.690,5.7,2.2,0.9,0.1
5,Cory Alexander\alexaco01,2005,2005,1,16,201,16,49,8,19,9,12,8,29,37,9,1,19,29,49,.327,.421,.750,12.6,3.1,1.8,2.3
6,Malik Allen\allenma01,2005,2005,1,22,271,49,101,0,0,13,14,16,47,7,5,11,7,24,111,.485,,.929,12.3,5.0,2.1,0.3
7,Alan Anderson\anderal01,2006,2007,2,53,820,112,262,29,78,52,64,34,102,53,18,4,54,81,305,.427,.372,.813,15.5,5.8,1.9,1.0
8,Derek Anderson\anderde01,2007,2008,2,78,1586,173,419,73,204,121,144,38,165,177,64,8,81,164,540,.413,.358,.840,20.3,6.9,2.1,2.3
9,Kenny Anderson\anderke01,1996,1996,1,38,1302,206,454,56,157,109,150,26,102,328,59,6,88,105,577,.454,.357,.727,34.3,15.2,2.7,8.6
10,Richard Anderson\anderri01,1990,1990,1,54,604,88,211,37,100,18,23,33,127,55,20,9,26,64,231,.417,.370,.783,11.2,4.3,2.4,1.0
11,Michael Ansley\anslemi01,1992,1992,1,2,13,3,7,0,0,0,0,0,2,0,0,0,0,1,6,.429,,,6.5,3.0,1.0,0.0
12,B.J. Armstrong\armstbj01,1998,1999,2,72,950,120,237,15,42,46,53,13,85,171,28,0,45,84,301,.506,.357,.868,13.2,4.2,1.2,2.4
13,Stacey Augmon\augmost01,2002,2002,1,77,1319,140,328,0,3,77,101,59,225,103,56,12,54,115,357,.427,.000,.762,17.1,4.6,2.9,1.3
