,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
189,Dennis Scott\scottde01,1999,1999,1,21,532,70,157,29,68,22,27,5,38,32,12,2,14,32,191,.446,.426,.815,25.3,9.1,1.8,1.5
190,Malik Sealy\sealyma01,1999,2000,2,113,3123,466,1011,16,58,232,279,142,444,233,106,24,143,265,1180,.461,.276,.832,27.6,10.4,3.9,2.1
191,Brad Sellers\sellebr01,1990,1993,2,68,646,68,186,0,3,46,51,35,102,47,12,14,39,51,182,.366,.000,.902,9.5,2.7,1.5,0.7
192,Ramon Sessions\sessira01,2010,2010,1,82,1732,253,555,1,15,167,233,58,214,258,55,5,137,137,674,.456,.067,.717,21.1,8.2,2.6,3.1
193,Charles Shackleford\shackch01,1995,1995,1,21,239,39,65,0,0,16,20,16,67,8,8,6,8,47,94,.600,,.800,11.4,4.5,3.2,0.4
194,Alexey Shved\shvedal01,2013,2014,2,140,2504,312,872,115,390,176,240,62,256,354,80,43,195,153,915,.358,.295,.733,17.9,6.5,1.8,2.5
195,Reggie Slater\slatere01,2001,2003,2,81,827,117,225,0,0,101,155,96,217,30,24,10,52,157,335,.520,,.652,10.2,4.1,2.7,0.4
196,Charles Smith\smithch02,1996,1996,1,8,39,3,10,0,3,0,2,0,5,6,1,0,5,7,6,.300,.000,.000,4.9,0.8,0.6,0.8
197,Chris Smith\smithch03,1993,1995,3,224,3956,425,976,59,161,231,324,61,291,627,118,56,219,346,1140,.435,.366,.713,17.7,5.1,1.3,2.8
198,Craig Smith\smithcr01,2007,2009,3,233,4544,832,1505,0,16,417,634,370,1053,188,118,54,268,624,2081,.553,.000,.658,19.5,8.9,4.5,0.8
199,Greg Smith\smithgr02,2016,2016,1,18,192,18,32,0,0,7,17,12,42,6,4,1,7,28,43,.563,,.412,10.7,2.4,2.3,0.3
200,Joe Smith\smithjo02,1999,2003,4,247,6432,960,2054,3,9,610,783,603,1561,276,130,265,314,870,2533,.467,.333,.779,26.0,10.3,6.3,1.1
201,Kirk Snyder\snydeki01,2008,2008,1,27,680,83,161,3,14,58,77,25,114,56,19,14,48,49,227,.516,.214,.753,25.2,8.4,4.2,2.1
202,Felton Spencer\spencfe01,1991,1993,3,213,4876,441,938,0,1,388,557,573,1400,95,98,266,217,821,1270,.470,.000,.697,22.9,6.0,6.6,0.4
203,Latrell Sprewell\sprewla01,2004,2005,2,162,5550,916,2227,168,510,396,483,121,564,465,141,42,285,225,2396,.411,.329,.820,34.3,14.8,3.5,2.9
204,Lance Stephenson\stephla01,2017,2017,1,6,67,10,21,0,2,1,2,0,10,5,0,0,4,2,21,.476,.000,.500,11.2,3.5,1.7,0.8
205,Greg Stiemsma\stiemgr01,2013,2013,1,76,1209,127,278,0,0,53,69,61,261,30,44,90,59,184,307,.457,,.768,15.9,4.0,3.4,0.4
206,Rod Strickland\stricro02,2003,2003,1,47,956,120,278,1,11,79,107,20,95,215,46,6,76,55,320,.432,.091,.738,20.3,6.8,2.0,4.6
207,Wally Szczerbiak\szczewa02,2000,2006,7,438,14715,2634,5263,343,849,1166,1364,537,1932,1190,300,131,735,1022,6777,.500,.404,.855,33.6,15.5,4.4,2.7
208,Jeff Teague\teaguje01,2018,2019,2,75,2469,378,850,91,241,223,261,25,221,531,106,24,186,184,1070,.445,.378,.854,32.9,14.3,2.9,7.1
209,Sebastian Telfair\telfase01,2008,2011,3,172,4739,587,1494,133,403,253,325,65,316,809,157,26,321,419,1560,.393,.330,.778,27.6,9.1,1.8,4.7
210,Jim Thomas\thomaji01,1991,1991,1,3,14,1,4,0,0,0,0,0,0,1,1,0,1,0,2,.250,,,4.7,0.7,0.0,0.3
211,John Thomas\thomajo02,2005,2005,1,44,521,42,86,0,0,27,46,39,97,17,15,13,18,82,111,.488,,.587,11.8,2.5,2.2,0.4
212,Bob Thornton\thornbo01,1991,1991,1,12,110,4,13,0,0,8,10,1,15,1,0,3,9,18,16,.308,,.800,9.2,1.3,1.3,0.1
213,Anthony Tolliver\tollian01,2011,2019,3,121,2343,221,516,81,236,150,192,143,460,106,49,50,86,244,673,.428,.343,.781,19.4,5.6,3.8,0.9
